key,text,english,notes,tag,checked
version,6.06,6.06, ,float,False
pdf_title,6000年嘅人類歷史可視化,6000 years human history visualized,2026-06-30,text,False
pdf_subject,人類大事記,Timeline of humankind, ,text,False
BCE,B.C.E.,B.C.E.,appendix B9,B9,False
CE,C.E.,C.E., ,B9,False
month,月,month, ,text,False
months,月份,months, ,text,False
day,日,day, ,text,False
days,日,days, ,text,False
to,自,to, ,text,False
Deluge,洪水,Deluge, ,text,False
moses2,公元前1593年至公元前1473年–120年,1593 to 1473 B.C.E. – 120 years, ,text,False
temple1,公元前1513年尼散至公元前1034年,Nisan 1513 B.C.E. to Ziv 1034 B.C.E., ,text,False
69weeks,耶穌在公元29年秋天施洗。,Jesus baptized autumn 29 C.E., ,text,False
year,年,year,"timespan, age (Adam was 130 years old when Shem was born)",text,False
years,年,years, ,text,False
years_age,年,years,"years when used as age for a person (different word than years in some languages), like he is 23 years old",text,False
age_kings, , ,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""",text,False
wilderness,曠野中嘅以色列公元前1513年至公元前1473年–40年,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years, ,text,False
timespan_judges,公元前1473年至公元前1117年–356年,1473 to 1117 B.C.E. – 356 years, ,text,False
timespan_judges2,評委時間,Time of the judges, ,text,False
temple2,聖殿建成前479年–列王紀上6：1,479 years until the temple construction – 1 Kings 6:1,1034 BCE,text,False
69weeks2,彌賽亞69周–但以理書9：25,69 weeks to the Messiah – Daniel 9:25, ,text,False
jesus_service,服侍耶穌3.5年，于公元33年尼散月14日被處決。,"3.5 years of Jesus service, executed Nisan 14th, 33 C.E.", ,text,False
jesus_life,耶穌生於公元前2年,Jesus born 2 B.C.E., ,text,False
exile,公元前607年至公元前537年–70年（耶利米書25：11）,607 to 537 B.C.E. – 70 years (Jeremiah 25:11), ,text,False
exile2,流亡,Exile, ,text,False
7times2,7次–2520年到彌賽亞王國，公元1914年（但以理書4：23）,7 times – 2520 years to the Messianic Kingdom 1914 C.E. (Daniel 4:23), ,text,False
ww1,第一次世界大戰–公元1914-1918年,World War I – 1914–1918, ,text,False
ww2,第二次世界大戰–公元1939-1945年,World War II – 1939–1945, ,text,False
30_year_war,歐洲三十年戰爭1618-1648,Thirty Years' War in Europe 1618-1648, ,text,False
joshua,110岁,110 years, ,text,False
caleb,超過85年,more than 85 years, ,text,False
missionary1,保羅嘅第一次傳教之旅，約公元47-48年，與巴拿巴同约翰·马可,"First Missionary Journey of Paul, c. 47-48 C.E. with Barnabas and John Mark", ,text,False
circumcision,安提阿嘅割礼問題，約公元49年喺耶路撒冷舉行嘅會議,"Circumcision issue at Antioch, conference in Jerusalem c. 49 C.E.", ,text,False
missionary2,第二次傳教之旅，約公元49-52年，與西拉（西爾瓦努斯）,Second Missionary Journey c. 49-52 C.E with Silas (Silvanus), ,text,False
missionary3,第三次傳教之旅，約公元52-56年,Third Missionary Journey c. 52-56 C.E., ,text,False
caesarea,保羅被關押在凱撒利亞，約公元56-58年,Paul in custody in Caesarea c. 56-58 C.E., ,text,False
rome1,保羅第一次被囚禁喺罗马，約公元59-61年,Paul’s first imprisonment in Rome c. 59-61 C.E., ,text,False
rome2,保羅第二次被囚禁在羅馬，約公元65年，提摩太后書，保羅被處決,"Paul’s second imprisonment in Rome c. 65 C.E., 2 Timothy written, Paul executed", ,text,False
event_exodus,公元前1513年尼散月14日出埃及記,"Exodus from Egypt on Nisan 14th, 1513 B.C.E.", ,text,False
event_division_kingdom,以色列分裂公元前997年,Division of Israel 997 BCE, ,text,False
event_destruction_samaria,公元前740年撒玛利亚被亞述摧毀,Destruction of Samaria 740 B.C.E. by Assyria,Destruction of Samaria 740 B.C.E. by Assyria,text,False
event_destruction_jerusalem1,公元前607年，巴比倫在耶路撒冷分裂390年後，耶路撒冷被巴比倫摧毀（以西結書4：5）,"Destruction of Jerusalem 607 B.C.E. by Babylon, 390 years after the division of the kingdom (Ezekiel 4:5)", ,text,False
event_temple_rebuilt,耶路撒冷嘅聖殿重建於公元前515年。,Temple in Jerusalem rebuilt 515 B.C.E., ,text,False
event_jerusalem_rebuilt,耶路撒冷城牆重建於公元前455年,Jerusalem wall rebuilt 455 B.C.E., ,text,False
event_destruction_jerusalem2,公元70年罗马喺提图斯統治下摧毀耶路撒冷,Destruction of Jerusalem 70 C.E. by Rome under Titus, ,text,False
event_1914,萬國時代的終結，神嘅國度開始喺天上統治公元1914年,"End of the time of the nations (Luke 21:24), God’s Kingdom starts to rule in heaven 1914 C.E.",include scripture Luke 21:24,text,False
became_king,年紀大咗就成了國王,becomes king at age,2025-04-14,text,False
vulgate,杰罗姆（ Jerome ）完成嘅通俗譯本（聖經嘅拉丁文譯本）約公元405年,Vulgate completed by Jerome (Latin translation of the bible) c. 405 C.E., ,text,False
gutenberg,古腾堡聖經印刷1455年,Gutenberg Bible printed 1455, ,text,False
erasmus,1516年鹿特丹嘅德西德里乌斯·伊拉斯杓（ Desiderius Erasmus ）出版嘅基督教希臘語聖經嘅希臘文本,Greek text of Christian Greek Scriptures published by Desiderius Erasmus of Rotterdam 1516, ,text,False
luther,1522年9月路德聖經翻譯,Luther Bible translation in September 1522, ,text,False
tyndale,Tyndale 1536年嘅英文聖經翻譯,English Bible translation by Tyndale 1536, ,text,False
king_james,欽定版聖經1611,King James Bible 1611, ,text,False
69weeks3,"耶穌在公元29年開始服侍（路加福音3：1,21）","Jesus starts his service 29 CE (Luke 3:1, 21)", ,text,False
ransom,周中≤停止獻祭桎梏但以理書9：27,Middle of week “sacrifice to cease” Daniel 9:27, ,text,False
cornelius,哥尼流在公元36年70周結束時受洗（但以理書9：24）。,Cornelius baptized at the end of 70 weeks (Daniel 9:24) in 36 C.E., ,text,False
columbus,1492年美洲前哥倫布時期結束,End of the pre-columbian period in the Americas 1492, ,text,False
declaration_independence,1776年美洲13個殖民地宣佈獨立,Declaration of independence of 13 colonies in America 1776, ,text,False
tischendorf,Tischendorf於1844年發現咗4世紀嘅西奈抄本,Tischendorf discovers the Codex Sinaiticus from the 4th century in 1844, ,text,False
dead_sea_scrolls,死海古卷寫作,Dead Sea Scrolls written, ,text,False
septuagint,七十士譯本LXX翻譯,Septuagint LXX translated, ,text,False
watchtower,1879年出版了第一期《錫安的守望台和基督同系的先驅》,The first issue of “Zion’s Watch Tower and Herald of Christ’s Presence” is published in 1879, ,text,False
jehovahs_witnesses,聖經研究者取了一個新名字——耶和華見證人。 1931年，俄亥俄州哥伦布市,"The Bible Students adopt a new name – Jehovah’s Witnesses (Isaiah 43:10, 12) in Columbus, Ohio, 1931",include scripture,text,False
gilead_school,守望台基列聖經學校於1943年2月1日星期一開學,"Watchtower Bible School of Gilead begins on Monday, February 1, 1943", ,text,False
new_world_translation1,1960年6月18日，《聖經新世界譯本》在英國曼徹斯特出版,"“New World Translation of the Holy Scriptures” released in Manchester, England on June 18, 1960, reintroduces the name Jehovah in many parts of the Bible",hightlight reintroduction of Jehovah’s name,text,False
new_world_translation2,2013年年會上修訂嘅《聖經新世界譯本》,"Revised “New World Translation of the Holy Scriptures” released at annual meeting 2013, optimized to be used digitally and online",new edition with digital and online in mind,text,False
cold_war,1945-1991年被稱為“冷戰”嘅地緣政治局勢,Geopolitical situation labeled “Cold War” 1945-1991, ,text,False
codex_sinaiticus,西奈抄本,Codex Sinaiticus written, ,text,False
codex_vaticanus,梵蒂岡抄本,Codex Vaticanus written, ,text,False
leningrad_codex,列宁格勒抄本，寫於開羅，公元1008年,Leningrad Codex written in Cairo AD 1008, ,text,False
john,約翰在公元96-98年被擄到拔摩島時寫下了“啟示錄”。,John writes “revelation” while exiled on Patmos 96-98 C.E., ,text,False
buddha,佛陀–悉达多·乔达摩c.563-c.483 B.C.E,The Buddha – Siddhartha Gautama c.563-c.483 B.C.E, ,text,False
buddha2,佛陀約公元前480-400年,Buddha alternatively c. 480-400 B.C.E., ,text,False
mohammed,穆罕默德，約公元570-632年,Mohammed c. 570-632, ,text,False
confucius,孔子，約公元前551年—約公元前479年,Confucius c.551-c.479 B.C.E., ,text,False
hijrah,希吉拉-麥加之旅到麥地622年7月16日,Hijrah - Journey Mecca to Medina 16 July 622, ,text,False
moses_escape,公元前1553年，摩西必須逃離埃及——出埃及記2：15，使徒行傳7：23,"1553 B.C.E. Moses has to escape Egypt – Exodus 2:15, Acts 7:23", ,text,False
10plagues,公元前1513年，埃及遭遇10次瘟疫,1513 B.C.E Egypt receives 10 plagues, ,text,False
joseph_sold,約瑟在17歲時被賣為奴隸——創世記37：2,Joseph sold as slave at the age of 17 – Gen 37:2, ,text,False
infliction,400年的苦難（使徒行傳7：6）—以實瑪利，公元前1913年，公元前,400 year infliction (Acts 7:6) – Ishmael 1913 B.C.E, ,text,False
Alexander,亞歷山大大帝（但以理書11：3 ）,Alexander the Great (Daniel 11:3), ,text,False
