key,english,translation
pdf_title,"6,000 Years of Human History — A Timeline",6.000 năm lịch sử nhân loại — Dòng thời gian
pdf_subject,Timeline of human history from 4000 BCE to present,Dòng thời gian lịch sử nhân loại từ 4000 TCN đến nay
month,month,tháng
months,months,các tháng
day,day,ngày
days,days,các ngày
to,to,đến
Deluge,Deluge,Trận Đại Hồng Thủy
moses2,1593 to 1473 B.C.E. – 120 years,1593 đến 1473 TCN – 120 năm
temple1,Nisan 1513 B.C.E. to Ziv 1034 B.C.E.,Nisan 1513 TCN đến Ziv 1034 TCN
69weeks,Jesus baptized autumn 29 C.E.,Chúa Giê-su chịu phép báp-têm vào mùa thu năm 29 CN
year,year,năm
years,years,năm
years_age,years,tuổi
age_kings,,
wilderness,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years,Dân Y-sơ-ra-ên trong hoang mạc 1513 đến 1473 TCN – 40 năm
timespan_judges,1473 to 1117 B.C.E. – 356 years,1473 đến 1117 TCN – 356 năm
timespan_judges2,Time of the judges,Thời kỳ các quan xét
temple2,479 years until the temple construction – 1 Kings 6:1,479 năm cho đến khi xây cất đền thờ – 1 Các Vua 6:1
69weeks2,69 weeks to the Messiah – Daniel 9:25,69 tuần cho đến Đấng Mê-si – Đa-ni-ên 9:25
jesus_service,"3.5 years of Jesus service, executed Nisan 14th, 33 C.E.","3,5 năm Chúa Giê-su thi hành chức vụ, bị xử tử ngày 14 Nisan năm 33 CN"
jesus_life,Jesus born 2 B.C.E.,Chúa Giê-su sinh năm 2 TCN
exile,607 to 537 B.C.E. – 70 years (Jeremiah 25:11),607 đến 537 TCN – 70 năm (Giê-rê-mi 25:11)
exile2,Exile,Thời kỳ lưu đày
7times2,7 times – 2520 years to the Messianic Kingdom 1914 C.E. (Daniel 4:23),7 kỳ – 2520 năm cho đến Nước Đấng Mê-si năm 1914 CN (Đa-ni-ên 4:23)
ww1,World War I – 1914–1918,Thế chiến thứ nhất – 1914–1918
ww2,World War II – 1939–1945,Thế chiến thứ hai – 1939–1945
30_year_war,Thirty Years' War in Europe 1618-1648,Chiến tranh Ba mươi năm ở châu Âu 1618-1648
joshua,110 years,110 tuổi
caleb,more than 85 years,hơn 85 tuổi
missionary1,"First Missionary Journey of Paul, c. 47-48 C.E. with Barnabas and John Mark","Hành trình truyền giáo thứ nhất của Phao-lô, k. 47-48 CN với Ba-na-ba và Giăng Mác"
circumcision,"Circumcision issue at Antioch, conference in Jerusalem c. 49 C.E.","Vấn đề cắt bì tại An-ti-ốt, hội nghị tại Giê-ru-sa-lem k. 49 CN"
missionary2,Second Missionary Journey c. 49-52 C.E with Silas (Silvanus),Hành trình truyền giáo thứ hai k. 49-52 CN với Si-la (Sin-vanh)
missionary3,Third Missionary Journey c. 52-56 C.E.,Hành trình truyền giáo thứ ba k. 52-56 CN
caesarea,Paul in custody in Caesarea c. 56-58 C.E.,Phao-lô bị giam giữ tại Sê-sa-rê k. 56-58 CN
rome1,Paul’s first imprisonment in Rome c. 59-61 C.E.,Lần bị tù đầu tiên của Phao-lô tại La Mã k. 59-61 CN
