key,text,english,notes,tag,checked,checked_by,date,link,google,chatgpt,gemini,claude,deepl
version,6.08,6.08, ,float,True,Matthias,2026-07-01, , , , , , 
pdf_title,6000年的人类历史可视化,"6,000 Years of Human History — A Timeline",2026-08-26,text,False,Matthias,2026-07-01, ,"6,000 Years of Human History — A Timeline",6000年人类历史——时间线, , ,"6,000年人类历史——时间轴"
pdf_subject,人类时间轴,Timeline of human history from 4000 BCE to present,6.01,text,False,Matthias,2026-07-01, ,Timeline of human history from 4000 BCE to present,公元前4000年至今的人类历史时间线, , ,从公元前4000年至现在的世界历史年表
BCE,公元前,B.C.E.,appendix B9,B9,True,Matthias,2026-07-01, ,公元前,公元前, , , 
CE,公元 ,C.E., ,B9,True,Matthias,2026-07-01, ,公元 ,公元 , , , 
month,个月,month, ,text,True,Matthias,2026-07-01, ,个月,月, , ,月
months,个月,months, ,text,False, , , ,个月,月, , ,几个月
day,天,day, ,text,False, , , ,天,日, , ,天
days,天,days, ,text,False, , , ,天,日, , ,天
to,至,to, ,text,False, , , ,至,至, , ,到
Deluge,洪水,Deluge, ,text,False, , , ,洪水,大洪水, , ,大洪水
moses2,公元前 1593 年至 1473 年– 120 年,1593 to 1473 B.C.E. – 120 years, ,text,False, , , ,1593 to 1473 B.C.E. – 120 years,公元前1593年至公元前1473年——120年, , ,公元前1593年至公元前1473年——120年
temple1,公元前 1513 年尼散月至公元前 1034 年齐夫,Nisan 1513 B.C.E. to Ziv 1034 B.C.E., ,text,False, , , ,Nisan 1513 B.C.E. to Ziv 1034 B.C.E.,公元前1513年尼散月至公元前1034年细瓦月, , ,公元前1513年尼桑月至公元前1034年西夫月
69weeks,耶稣于公元 29 年秋天受洗,Jesus baptized autumn 29 C.E., ,text,False, , , ,Jesus baptized autumn 29 C.E.,公元29年秋 耶稣受洗, , ,公元29年秋，耶稣受洗。
year,年,year,"timespan, age (Adam was 130 years old when Shem was born)",text,False, , , ,year,年, , ,年
years,年,years, ,text,False, , , ,years,年, , ,年
years_age,岁,years,"years when used as age for a person (different word than years in some languages), like he is 23 years old",text,False, , , ,years,年, , ,年
age_kings, , ,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""",text,False, , , , , , , , 
wilderness,以色列人在旷野中，公元前 1513 年至 1473 年– 40 年,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years, ,text,False, , , ,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years,公元前1513年至公元前1473年以色列人在旷野——40年, , ,以色列人在旷野的岁月：公元前1513年至1473年——40年
timespan_judges,公元前 1473 年至 1117 年– 356 年,1473 to 1117 B.C.E. – 356 years, ,text,False, , , ,1473 to 1117 B.C.E. – 356 years,公元前1473年至公元前1117年——356年, , ,公元前1473年至公元前1117年——356年
timespan_judges2,评委时间,Time of the judges, ,text,False, , , ,Time of the judges,士师时期, , ,法官时代
temple2,距离圣殿建造还有 479 年 – 列王记上 6:1,479 years until the temple construction – 1 Kings 6:1,1034 BCE,text,False, , , ,479 years until the temple construction – 1 Kings 6:1,离圣殿建造还有479年——《列王纪上》6:1, , ,距离圣殿建造还有479年——《列王纪上》6:1
69weeks2,弥赛亚到来还有 69 周 – 但以理书 9:25,69 weeks to the Messiah – Daniel 9:25, ,text,False, , , ,69 weeks to the Messiah – Daniel 9:25,到弥赛亚还有69个七——《但以理书》9:25, , ,距离弥赛亚还有69周——《但以理书》9:25
jesus_service,侍奉耶稣 3.5 年，公元 33 年尼散月 14 日被处决,"3.5 years of Jesus service, executed Nisan 14th, 33 C.E.", ,text,False, , , ,"3.5 years of Jesus service, executed Nisan 14th, 33 C.E.",耶稣3.5年的传道生涯，公元33年尼散月14日被处死, , ,耶稣传道3.5年，于公元33年尼散月14日被处决。
jesus_life,耶稣诞生于公元前 2 年,Jesus born 2 B.C.E., ,text,False, , , ,Jesus born 2 B.C.E.,耶稣出生于公元前2年, , ,耶稣出生于公元前2年。
exile,公元前 607 至 537 年– 70 年（耶利米书 25:11）,607 to 537 B.C.E. – 70 years (Jeremiah 25:11), ,text,False, , , ,607 to 537 B.C.E. – 70 years (Jeremiah 25:11),公元前607年至公元前537年——70年（《耶利米书》25:11）, , ,公元前607年至公元前537年——70年（耶利米书 25:11）
exile2,流亡,Exile, ,text,False, , , ,Exile,流放, , ,流放
7times2,7 次 – 公元 1914 年弥赛亚王国 2520 年（但以理书 4:23）,7 times – 2520 years to the Messianic Kingdom 1914 C.E. (Daniel 4:23), ,text,False, , , ,7 times – 2520 years to the Messianic Kingdom 1914 C.E. (Daniel 4:23),到1914年弥赛亚王国——七次，共2520年（《但以理书》4:23）, , ,7倍——距公元1914年的弥赛亚王国还有2520年（但以理书 4:23）
ww1,第一次世界大战 – 公元 1914 年至 1918 年,World War I – 1914–1918, ,text,False, , , ,World War I – 1914–1918,第一次世界大战——1914–1918, , ,第一次世界大战——1914–1918
