key,text,english,notes,tag,checked,checked_by,date,link,google,chatgpt,gemini,claude,deepl
version,6.08,6.08, ,float,False, , , , , , , , 
pdf_title,٦٠٠٠ سنة من التاريخ البشري — خط زمني,"6,000 Years of Human History — A Timeline",2026-09-03,text,True,Matthias,2026-09-02, ,6000 سنة من تاريخ البشرية – جدول زمني,"٦,٠٠٠ سنة من التاريخ البشري — جدول زمني","6,000 سنة من التاريخ البشري — تسلسل زمني",٦٠٠٠ سنة من التاريخ البشري — خط زمني,"6,000 عام من تاريخ البشرية — جدول زمني"
pdf_subject,الجدول الزمني للبشرية,Timeline of human history from 4000 BCE to present,6.01,text,False, , , ,الجدول الزمني لتاريخ البشرية من 4000 قبل الميلاد حتى الوقت الحاضر,الجدول الزمني للتاريخ البشري من ٤٠٠٠ ق.م. إلى الوقت الحاضر,تسلسل زمني للتاريخ البشري من 4000 قبل الميلاد إلى الحاضر,الخط الزمني للتاريخ البشري من عام ٤٠٠٠ ق.م إلى الوقت الحاضر,الخط الزمني لتاريخ البشرية من عام 4000 قبل الميلاد حتى الوقت الحاضر
BCE,ق.م.,B.C.E.,appendix B9,B9,False, , , , , ,ق.م.,ق.م, 
CE,م.,C.E., ,B9,False, , , , , ,م.,م, 
month,شهر,month, ,text,False, , , ,شهر,شهر,شهر,شهر,شهر
months,شهور,months, ,text,False, , , ,شهور,أشهر,أشهر,أشهر,شهور
day,يوم,day, ,text,False, , , ,يوم,يوم,يوم,يوم,يوم
days,أيام,days, ,text,False, , , ,أيام,أيام,أيام,أيام,أيام
to,ل,to, ,text,False, , , ,ل,إلى,إلى,إلى,إلى
Deluge,غمر,Deluge, ,text,False, , , ,غمر,الطوفان,الطوفان,الطوفان,الطوفان
moses2,من 1593 إلى 1473 ق.م. - 120 سنة,1593 to 1473 B.C.E. – 120 years, ,text,False, , , ,من 1593 إلى 1473 ق.م. - 120 سنة,١٥٩٣ إلى ١٤٧٣ ق.م. – ١٢٠ سنة,1593 إلى 1473 قبل الميلاد – 120 سنة,١٥٩٣ إلى ١٤٧٣ ق.م – ١٢٠ سنة,1593 إلى 1473 قبل الميلاد – 120 عامًا
temple1,نيسان 1513 ق.م. إلى زيف سنة 1034 ق.م.,Nisan 1513 B.C.E. to Ziv 1034 B.C.E., ,text,False, , , ,نيسان 1513 ق.م. إلى زيف سنة 1034 ق.م.,نيسان ١٥١٣ ق.م. إلى زيو ١٠٣٤ ق.م.,نيسان 1513 قبل الميلاد إلى زيو 1034 قبل الميلاد,نيسان ١٥١٣ ق.م إلى زيو ١٠٣٤ ق.م,من نيسان 1513 قبل الميلاد إلى زيف 1034 قبل الميلاد
69weeks,عمَّد يسوع في خريف سنة ٢٩ بم,Jesus baptized autumn 29 C.E., ,text,False, , , ,عمَّد يسوع في خريف سنة ٢٩ بم,معمودية يسوع خريف ٢٩ م.,معمودية يسوع في خريف 29 ميلادية,اعتماد يسوع خريف سنة ٢٩ م,عُمّد يسوع في خريف عام 29 بعد الميلاد.
year,سنة,year,"timespan, age (Adam was 130 years old when Shem was born)",text,False, , , ,سنة,سنة,سنة,سنة,سنة
years,سنين,years, ,text,False, , , ,سنين,سنوات,سنوات,سنوات,سنوات
years_age,سنين,years,"years when used as age for a person (different word than years in some languages), like he is 23 years old",text,False, , , ,سنين,سنوات,سنوات,سنوات,سنوات
age_kings, , ,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""",text,False, , , , , ,,, 
wilderness,إسرائيل في البرية 1513 إلى 1473 ق.م. - 40 سنة,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years, ,text,False, , , ,إسرائيل في البرية 1513 إلى 1473 ق.م. - 40 سنة,إسرائيل في البرية ١٥١٣ إلى ١٤٧٣ ق.م. – ٤٠ سنة,إسرائيل في البرية من 1513 إلى 1473 قبل الميلاد – 40 سنة,إسرائيل في البرية من ١٥١٣ إلى ١٤٧٣ ق.م – ٤٠ سنة,إسرائيل في البرية من عام 1513 إلى 1473 قبل الميلاد – 40 عامًا
timespan_judges,من ١٤٧٣ إلى ١١١٧ ق.م. – 356 سنة,1473 to 1117 B.C.E. – 356 years, ,text,False, , , ,من ١٤٧٣ إلى ١١١٧ ق.م. – 356 سنة,١٤٧٣ إلى ١١١٧ ق.م. – ٣٥٦ سنة,1473 إلى 1117 قبل الميلاد – 356 سنة,١٤٧٣ إلى ١١١٧ ق.م – ٣٥٦ سنة,1473 إلى 1117 قبل الميلاد – 356 عامًا
timespan_judges2,زمن القضاة,Time of the judges, ,text,False, , , ,زمن القضاة,عصر القضاة,عصر القضاة,زمن القضاة,عصر القضاة
temple2,479 سنة حتى بناء الهيكل – 1 ملوك 6: 1,479 years until the temple construction – 1 Kings 6:1,1034 BCE,text,False, , , ,479 سنة حتى بناء الهيكل – 1 ملوك 6: 1,٤٧٩ سنة حتى بناء الهيكل – ١ ملوك ٦:١,479 سنة حتى بناء الهيكل – 1 الملوك 6: 1,٤٧٩ سنة حتى بناء الهيكل – ١ ملوك ٦:‏١,479 سنة حتى بدء بناء الهيكل – 1 ملوك 6:1
69weeks2,69 أسبوعًا للمسيح – دانيال 9: 25,69 weeks to the Messiah – Daniel 9:25, ,text,False, , , ,69 أسبوعًا للمسيح – دانيال 9: 25,٦٩ أسبوعًا إلى المسيح – دانيال ٩:٢٥,69 أسبوعاً حتى المسِيح – دانيال 9: 25,٦٩ أسبوعا إلى المسيح – دانيال ٩:‏٢٥,69 أسبوعًا حتى مجيء المسيح – دانيال 9:25
