key,start,end,row_y,notes
Ruth,-1450,-1300,18,early in the time of judges
Ezra,-537,-468,28,written 460 BCE by Ezra
Nehemiah,-456,-443,28,written after 443 BCE in Jerusalem
Esther,-493,-475,31,concluded before Ezra was written
Job,-1657,-1593,43.7,between Joseph and Moses
dead_sea_scrolls,-250,-50,7,Discovered 1946 – 1956
septuagint,-280,-180,9,requested by Ptolemy II Philadelphus (285–247 BCE)
codex_sinaiticus,325,400,6.8,After 325 AD
codex_vaticanus,300,400,16.8,
buddha,-563,-483,40,
confucius,-551,-479,41.7,
