key,text,english,notes,tag,checked
version,5.5,6.02, ,float,True
pdf_title,Picture di 6000 ay tawen ay history di ipogao,6000 years human history visualized,2026-02-12,text,True
pdf_subject,Timeline di sangatauan,Timeline of humankind,5.5,text,False
BCE,K.K.P.,B.C.E.,appendix B9,B9,True
CE,K.P.,C.E., ,B9,True
month,buwan,month, ,text,False
months,buwan,months, ,text,False
day,agew,day, ,text,False
days,agew,days, ,text,False
to,–,to, ,text,False
Deluge,Layus,Deluge, ,text,False
moses2,1593 enggana 1473 K.K.P. – 120 a tawen,1593 to 1473 B.C.E. – 120 years, ,text,False
temple1,Nisan 1513 K.K.P. enggana ken Ziv 1034 K.K.P.,Nisan 1513 B.C.E. to Ziv 1034 B.C.E., ,text,False
69weeks,Nagbautisar si Jesus ed Otonio 29 K.P.,Jesus baptized autumn 29 C.E., ,text,False
year,tawen,year,"timespan, age (Adam was 130 years old when Shem was born)",text,False
years,tawen,years, ,text,False
years_age,iti edad a,years,"years when used as age for a person (different word than years in some languages), like he is 23 years old",text,False
age_kings, , ,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""",text,False
wilderness,Nan Israel ed let-ang 1513 enggana 1473 K.K.P. – 40 a tawen,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years, ,text,False
timespan_judges,1473 enggana 1117 K.K.P. – 356 a tawen,1473 to 1117 B.C.E. – 356 years, ,text,False
timespan_judges2,Panawen di uk-ukom,Time of the judges, ,text,False
temple2,479 a tawen sakbay mabangon san templo – 1 Ar-ari 6:1,479 years until the temple construction – 1 Kings 6:1,1034 BCE,text,False
69weeks2,69 a domingo sipay dumateng nan Mesias – Daniel 9:25,69 weeks to the Messiah – Daniel 9:25, ,text,False
jesus_service,"3.5 a tawen ay panagserbin Jesus, napese ed Nisan14 33 K.P.","3.5 years of Jesus service, executed Nisan 14th, 33 C.E.", ,text,False
jesus_life,Panaka iyanak Jesus - 2 K.K.P.,Jesus born 2 B.C.E., ,text,False
exile,pannakaidestiero 607 enggana 537 K.K.P. – 70 a tawen (Jeremias 25:11),607 to 537 B.C.E. – 70 years (Jeremiah 25:11), ,text,False
exile2,Exile,Exile, ,text,False
7times2,7 a panawen – 2520 enggana sin Mesianiko a Pagarian 1914 C.E. (Daniel 4:23),7 times – 2520 years to the Messianic Kingdom 1914 C.E. (Daniel 4:23), ,text,False
ww1,Gubat Sangalubongan I – 1914–1918 K.P.,World War I – 1914–1918, ,text,False
ww2,Gubat Sangalubongan II – 1939–1945,World War II – 1939–1945, ,text,False
30_year_war,Tallopulo ay Tawen a Gubat ed Europa 1618-1648,Thirty Years' War in Europe 1618-1648, ,text,False
joshua,110 a tawen,110 years, ,text,False
caleb,nasurok a 85 a tawen,more than 85 years, ,text,False
missionary1,"Umuna ay Panagdaliasat Pablo kas Misionero, c. 47-48 K.P. kaduana da Bernabe ken Juan Marcos","First Missionary Journey of Paul, c. 47-48 C.E. with Barnabas and John Mark", ,text,False
circumcision,"Isyu di panagkugit ed Antioquia, komperensia ed Jerusalem c. 49 K.P.","Circumcision issue at Antioch, conference in Jerusalem c. 49 C.E.", ,text,False
missionary2,Maikadua ay Panagdaliasat Pablo kas Misionero c. 49-52 K.P. kaduana si Silas (Silvanus),Second Missionary Journey c. 49-52 C.E with Silas (Silvanus), ,text,False
missionary3,Maikatlo ay Panagdaliasat Pablo kas Misionero c. 52-56 K.P.,Third Missionary Journey c. 52-56 C.E., ,text,False
caesarea,Naibalud si Pablo ed Cesarea c. 56-58 K.P.,Paul in custody in Caesarea c. 56-58 C.E., ,text,False
rome1,Umuna ay pannakaibalud Pablo ed Roma c. 59-61 K.P.,Paul’s first imprisonment in Rome c. 59-61 C.E., ,text,False
rome2,"Maikadua ay pannakaibalud Pablo ed Roma c. 65 K.P., Panaka isurat di 2 Timoteo , Napese si Pablo","Paul’s second imprisonment in Rome c. 65 C.E., 2 Timothy written, Paul executed", ,text,False
event_exodus,"Kinmaan da ed Egipto sin maika-14 di Nisan, 1513 K.K.P.","Exodus from Egypt on Nisan 14th, 1513 B.C.E.", ,text,False
event_division_kingdom,Dibision ti Israel 997 K.K.P,Division of Israel 997 BCE, ,text,False
event_destruction_samaria,Pannakadadael di Samaria 740 K.K.P. ni Asiria,Destruction of Samaria 740 B.C.E. by Assyria,Destruction of Samaria 740 B.C.E. by Assyria,text,False
event_destruction_jerusalem1,"Pannakadadael di Jerusalem 607 K.K.P. babaen si Babilonia, 390 a tawen nan nalapabas di nabingay bingay nan pagarian (Ezekiel 4:5) .","Destruction of Jerusalem 607 B.C.E. by Babylon, 390 years after the division of the kingdom (Ezekiel 4:5)", ,text,False
event_temple_rebuilt,Naibangon san templo - Jerusalem idi 515,Temple in Jerusalem rebuilt 515 B.C.E., ,text,False
event_jerusalem_rebuilt,Naibangon san pader - Jerusalem idi 455,Jerusalem wall rebuilt 455 B.C.E., ,text,False
event_destruction_jerusalem2,Nadadael san Jerusalem 70 K.P. babaen ken Tito di Roma,Destruction of Jerusalem 70 C.E. by Rome under Titus, ,text,False
event_1914,"Ngudon di panawen di nasnasion (Lucas 21:24), rugin di turay di Dios ed langit 1914 K.P.","End of the time of the nations (Luke 21:24), God’s Kingdom starts to rule in heaven 1914 C.E.",include scripture Luke 21:24,text,False
became_king,nanbalin ay ari,becomes king at age,2025-04-14,text,False
vulgate,Nelpas Jerome nan Vulgate (Latin a patarus di Biblia) c. 405 K.P.,Vulgate completed by Jerome (Latin translation of the bible) c. 405 C.E., ,text,False
gutenberg,Na-imprenta nan Gutenberg ay Biblia idi 1455,Gutenberg Bible printed 1455, ,text,False
erasmus,Kristiano ay Griego ay Kasuratan en Desiderius Erasmus (Rotterdam) naipablaak idi 1516,Greek text of Christian Greek Scriptures published by Desiderius Erasmus of Rotterdam 1516, ,text,False
luther,Biblia ay patarus en Luther - Setiembre 1522,Luther Bible translation in September 1522, ,text,False
tyndale,Biblia ay patarus en Tyndale sin Ingles 1536,English Bible translation by Tyndale 1536, ,text,False
king_james,King James ay Biblia 1611,King James Bible 1611, ,text,False
69weeks3,"Rugi di panagserbin Jesus - 29 K.P. ( Luc 3:1, 21 )","Jesus starts his service 29 CE (Luke 3:1, 21)", ,text,False
ransom,kagudua di makadominggo “panagsardeng di panagdaton”,Middle of week “sacrifice to cease” Daniel 9:27, ,text,False
cornelius,Nabautisaran si Cornelio - udi di 70 a lawas (Da 9:24) idi 36 K.P.,Cornelius baptized at the end of 70 weeks (Daniel 9:24) in 36 C.E., ,text,False
columbus,Udi di pre-columbian period ed Americas 1492,End of the pre-columbian period in the Americas 1492, ,text,False
declaration_independence,panaka wayawaya di 13 ay kolonia ed Amerika 1776,Declaration of independence of 13 colonies in America 1776, ,text,False
tischendorf,"Panakatakuat di Codex Sinaitcus babaen ken Tischendorf -maika-4 a siglo , 1844",Tischendorf discovers the Codex Sinaiticus from the 4th century in 1844, ,text,False
dead_sea_scrolls,Naisurat din Dead Sea Scroll,Dead Sea Scrolls written, ,text,False
