key,text,english,notes,tag,checked,checked_by,date,link,google,chatgpt,gemini,claude,deepl
version,6.08,6.08, ,float,False, , , , , , , , 
pdf_title,6 000 години човешка история — хронологична таблица,"6,000 Years of Human History — A Timeline",2026-09-04,text,False, , , ,6000 години човешка история — хронология,6000 години човешка история — Хронология, ,6000 години човешка история — Времева линия,6 000 години човешка история — хронологична таблица
pdf_subject,Хронология на човешката история от 4000 г. пр.н.е. до днес,Timeline of human history from 4000 BCE to present,Timeline of humankind,text,False, , , ,Хронология на човешката история от 4000 г. пр.н.е. до наши дни,Хронология на човешката история от 4000 пр.н.е. до наши дни, ,Времева линия на човешката история от 4000 г. пр.н.е. до наши дни,Хронология на човешката история от 4000 г. пр.н.е. до днес
BCE,пр.н.е.,B.C.E.,appendix B9,B9,False, , , ,пр.н.е., , ,пр.н.е., 
CE,н.е.,C.E., ,B9,False, , , ,CE, , ,н.е., 
month,месец,month, ,text,False, , , ,месец,месец, ,месец,месец
months,месеца,months, ,text,False, , , ,месеци,месеци, ,месеца,месеца
day,ден,day, ,text,False, , , ,ден,ден, ,ден,ден
days,дни,days, ,text,False, , , ,дни,дни, ,дни,дни
to,към,to, ,text,False, , , ,до,до, ,до,към
Deluge,Потоп,Deluge, ,text,False, , , ,Потоп,Потоп, ,Потопът,Потоп
moses2,1593 – 1473 г. пр.н.е. – 120 години,1593 to 1473 B.C.E. – 120 years, ,text,False, , , ,1593 до 1473 г. пр.н.е. – 120 години,1593 до 1473 пр.н.е. – 120 години, ,1593 до 1473 г. пр.н.е. – 120 години,1593 – 1473 г. пр.н.е. – 120 години
temple1,1513 г. пр.н.е. (месец Нисан) до 1034 г. пр.н.е. (месец Зив),Nisan 1513 B.C.E. to Ziv 1034 B.C.E., ,text,False, , , ,Нисан 1513 г. пр.н.е. до Зив 1034 г. пр.н.е.,Нисан 1513 пр.н.е. до Зив 1034 пр.н.е., ,Нисан 1513 г. пр.н.е. до Зив 1034 г. пр.н.е.,1513 г. пр.н.е. (месец Нисан) до 1034 г. пр.н.е. (месец Зив)
69weeks,Исус се кръсти през есента на 29 г. сл. Хр.,Jesus baptized autumn 29 C.E., ,text,False, , , ,Исус е кръстен през есента на 29 г. сл. Хр.,Йоан Кръстител кръщава Исус есен 29 сл.н.е., ,Исус е кръстен през есента на 29 г. н.е.,Исус се кръсти през есента на 29 г. сл. Хр.
year,година,year,"timespan, age (Adam was 130 years old when Shem was born)",text,False, , , ,година,година, ,година,година
years,години,years, ,text,False, , , ,години,години, ,години,години
years_age,години,years,"years when used as age for a person (different word than years in some languages), like he is 23 years old",text,False, , , ,години,години, ,години,години
age_kings, , ,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""",text,False, , , ,, , ,, 
