key,english,translation
pdf_title,"6,000 Years of Human History — A Timeline",
pdf_subject,Timeline of human history from 4000 BCE to present,
month,month,
months,months,
day,day,
days,days,
to,to,
Deluge,Deluge,
moses2,1593 to 1473 B.C.E. – 120 years,
temple1,Nisan 1513 B.C.E. to Ziv 1034 B.C.E.,
69weeks,Jesus baptized autumn 29 C.E.,
year,year,
years,years,
years_age,years,
age_kings,,
wilderness,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years,
timespan_judges,1473 to 1117 B.C.E. – 356 years,
timespan_judges2,Time of the judges,
temple2,479 years until the temple construction – 1 Kings 6:1,
69weeks2,69 weeks to the Messiah – Daniel 9:25,
jesus_service,"3.5 years of Jesus service, executed Nisan 14th, 33 C.E.",
jesus_life,Jesus born 2 B.C.E.,
exile,607 to 537 B.C.E. – 70 years (Jeremiah 25:11),
exile2,Exile,
7times2,7 times – 2520 years to the Messianic Kingdom 1914 C.E. (Daniel 4:23),
ww1,World War I – 1914–1918,
ww2,World War II – 1939–1945,
30_year_war,Thirty Years' War in Europe 1618-1648,
joshua,110 years,
caleb,more than 85 years,
missionary1,"First Missionary Journey of Paul, c. 47-48 C.E. with Barnabas and John Mark",
circumcision,"Circumcision issue at Antioch, conference in Jerusalem c. 49 C.E.",
missionary2,Second Missionary Journey c. 49-52 C.E with Silas (Silvanus),
missionary3,Third Missionary Journey c. 52-56 C.E.,
caesarea,Paul in custody in Caesarea c. 56-58 C.E.,
rome1,Paul’s first imprisonment in Rome c. 59-61 C.E.,
rome2,"Paul’s second imprisonment in Rome c. 65 C.E., 2 Timothy written, Paul executed",
event_exodus,"Exodus from Egypt on Nisan 14th, 1513 B.C.E.",
event_division_kingdom,Division of Israel 997 BCE,
event_destruction_samaria,Destruction of Samaria 740 B.C.E. by Assyria,
event_destruction_jerusalem1,"Destruction of Jerusalem 607 B.C.E. by Babylon, 390 years after the division of the kingdom (Ezekiel 4:5)",
event_temple_rebuilt,Temple in Jerusalem rebuilt 515 B.C.E.,
event_jerusalem_rebuilt,Jerusalem wall rebuilt 455 B.C.E.,
event_destruction_jerusalem2,Destruction of Jerusalem 70 C.E. by Rome under Titus,
event_1914,"End of the time of the nations (Luke 21:24), God’s Kingdom starts to rule in heaven 1914 C.E.",
became_king,becomes king at age,
vulgate,Vulgate completed by Jerome (Latin translation of the bible) c. 405 C.E.,
gutenberg,Gutenberg Bible printed 1455,
erasmus,Greek text of Christian Greek Scriptures published by Desiderius Erasmus of Rotterdam 1516,
luther,Luther Bible translation in September 1522,
tyndale,English Bible translation by Tyndale 1536,
king_james,King James Bible 1611,
69weeks3,"Jesus starts his service 29 CE (Luke 3:1, 21)",
ransom,Middle of week “sacrifice to cease” Daniel 9:27,
cornelius,Cornelius baptized at the end of 70 weeks (Daniel 9:24) in 36 C.E.,
columbus,End of the pre-columbian period in the Americas 1492,
declaration_independence,Declaration of independence of 13 colonies in America 1776,
tischendorf,Tischendorf discovers the Codex Sinaiticus from the 4th century in 1844,
dead_sea_scrolls,Dead Sea Scrolls written,
septuagint,Septuagint LXX translated,
watchtower,The first issue of “Zion’s Watch Tower and Herald of Christ’s Presence” is published in 1879,
jehovahs_witnesses,"The Bible Students adopt a new name – Jehovah’s Witnesses (Isaiah 43:10, 12) in Columbus, Ohio, 1931",
gilead_school,"Watchtower Bible School of Gilead begins on Monday, February 1, 1943",
new_world_translation1,"“New World Translation of the Holy Scriptures” released in Manchester, England on June 18, 1960, reintroduces the name Jehovah in many parts of the Bible",
new_world_translation2,"Revised “New World Translation of the Holy Scriptures” released at annual meeting 2013, optimized to be used digitally and online",
cold_war,Geopolitical situation labeled “Cold War” 1945-1991,
codex_sinaiticus,Codex Sinaiticus written,
codex_vaticanus,Codex Vaticanus written,
leningrad_codex,Leningrad Codex written in Cairo AD 1008,
john,John writes “revelation” while exiled on Patmos 96-98 C.E.,
buddha,The Buddha – Siddhartha Gautama c.563-c.483 B.C.E,
buddha2,Buddha alternatively c. 480-400 B.C.E.,
mohammed,Mohammed c. 570-632,
confucius,Confucius c.551-c.479 B.C.E.,
hijrah,Hijrah - Journey Mecca to Medina 16 July 622,
moses_escape,"1553 B.C.E. Moses has to escape Egypt – Exodus 2:15, Acts 7:23",
10plagues,1513 B.C.E Egypt receives 10 plagues,
joseph_sold,Joseph sold as slave at the age of 17 – Gen 37:2,
infliction,400 year infliction (Acts 7:6) – Ishmael 1913 B.C.E,
Alexander,Alexander the Great (Daniel 11:3),
persia,"Cyrus the Great, Cambyses II, Darius I 490 BCE, Xerxes I 480 BCE (husband of Esther, Daniel 11:2)",
king_north,"Seleucus I Nicator (v5) Syria to Antiochus III (v10) and Seleucus IV (v18, 19) down to Octavian (v20) and Tiberius (v21-24)",
king_north1,King of the North,
king_south,"Ptolemy I, II, III, IV (v11, 12), V (v15, 16) to the battle Actium 31 B.C.E.",
king_south1,King of the South,
king_south2,"British Empire 1870, Anglo-American World Power since 1914",
king_south3,King of the South,
king_north2,"Germany with Emperor William I 1871 (v28), 1914 (v29), 1935 (v30b), 1939 (v31a)",
king_north3,North,
king_north4,"Soviet Union 1945-1991 (Daniel 11:32-39, 40b, 41)",
king_north5,Russia since 2017 (w20 May),
time_of_end,"Presence of Christ, Conclusion of the system of things (Matthew 24:3), the last days (2 Timothy 3:1)",
time_of_end2,Last days,
suryavaman2,King Suryavarman II builds Angkor Wat 1113-1150,
notre-dame,Notre-Dame de Paris built 1163-1260,
babel,Tower of Babel built,
infliction1,400 year infliction,
Lots_wife,Lot’s wife,
Lots_daughters,Daughters of Lot,
Moab,Moab (older daughter),
rosetta,Rosetta stone 196 B.C.E.,
Herodotus,"Herodotus c. 484 – c. 425 BC, writes The Histories",
Aristotle,Aristotle 384 – 322 BC,
Ptolemy,Ptolemy c 100 – c. 170 C.E.,
Pythagoras,Pythagoras c. 570 – c. 495 BC,
Plato,Plato c. 427 – c. 348 BC,
Socrates,Socrates c. 470 – c. 399 BC,
Josephus,Josephus c. 37 – c. 100 C.E.,
Cicero,Cicero 106–43 BC,
lachish_letters,Lachish letters c. 590 B.C.E.,
lachish_reliefs,Lachish reliefs c. 681 B.C.E.,
mesha_stele,Mesha Stele (Moabite stone) c. 840 B.C.E.,
gilgamesh,Gilgamesh and Aga 𒇽𒆥𒄄𒀀𒀝𒂵,
epic_gilgamesh,Epic of Gilgamesh (Sîn-lēqi-unninni),
