key,start,end,oppression,row_y,notes
Othniel,BCE1443-07-02,BCE1403-07-02,8,24.0,"1) 8 years oppression, Othniel for 40 years peace"
Ehud,BCE1398-07-02,BCE1318-07-02,18,25.5,"2) Eglon Moab oppressed 18 years, With Ehud 80 years peace"
Shamgar,BCE1318-07-02,BCE1317-07-01,0,27.0,"3) No time of oppression prior, no duration of peace (artificially extended to 1 year)"
Barak,BCE1313-07-01,BCE1273-07-01,20,28.5,"4) 20 years Jabin of Canaan, chief Sisera, then 40 years peace"
Gideon,BCE1270-07-02,BCE1230-07-02,7,30.0,"5) 7 years oppression Midian, then 40 years peace"
Tola,BCE1228-07-02,BCE1205-07-01,3,31.5,"6) Abimelech killing his 70 brothers, 3 years, after Tola 23 years peace"
Jair,BCE1205-07-01,BCE1183-07-02,0,24.0,"7) no prior time, 30 sons on 30 donkeys with 30 cities, peace for 22 years"
Jephthah,BCE1178-07-02,BCE1172-07-02,18,25.5,"8) 18 years Philistines and Ammorites, then Jephtah 6 years peace"
Ibzan,BCE1172-07-02,BCE1165-07-01,0,27.0,"9) no time prior, with Ibzan (30 sons and 30 daughters) 7 years peace"
Elon,BCE1165-07-01,BCE1155-07-02,0,28.5,"10) not prior oppression, 10 years peace"
Abdon,BCE1155-07-02,BCE1147-07-02,0,30.0,"11) no prior oppression, 8 years peace"
Samson,BCE1139-07-02,BCE1119-07-02,40,31.5,"12) 40 years in hand of Philistines, with Samson 20 years peace"
